Restaurant_Link,Name,Ratings,Cuisine
https://www.grubhub.com/restaurant/cafe-take-5-560-northern-blvd-great-neck/3336907,Cafe Take 5,NA,Salads
https://www.grubhub.com/restaurant/croissant-club-1735-washington-ave-bronx/3252578,Croissant Club,NA,Lunch
https://www.grubhub.com/restaurant/ninis-smoothie-bar-227-e-204th-st-bronx/3224723,Nini's Smoothie Bar,21 ratings,Salads
https://www.grubhub.com/restaurant/breakfast-beauties-941-columbus-ave-new-york/7161656,Breakfast Beauties,NA,Breakfast
https://www.grubhub.com/restaurant/the-waffle-spot-dyckman-st-158-dyckman-st-new-york/3039814,The Waffle Spot (Dyckman St),48 ratings,Breakfast
https://www.grubhub.com/restaurant/the-burger-23701-linden-blvd-elmont/6715792,The Burger,NA,Hamburger
https://www.grubhub.com/restaurant/bleeckers-finest-deli-171-bleecker-st-new-york/277403,Bleecker's Finest Deli,885 ratings,Convenience
https://www.grubhub.com/restaurant/burros-breakfast-burritos-1454-86th-st-brooklyn/3255002,Burro's Breakfast Burritos,5 ratings,Breakfast
https://www.grubhub.com/restaurant/fm-gourmet-deli-1903-williamsbridge-rd-the-bronx/6235248,F&M Gourmet Deli,NA,Hamburger
https://www.grubhub.com/restaurant/playa-bowls-105-w-72nd-st-new-york/6643080,Playa Bowls,58 ratings,Bowls
https://www.grubhub.com/restaurant/mias-breakfast-bar-168-myrtle-ave-brooklyn/2731101,Mia's Breakfast Bar,5 ratings,Breakfast
https://www.grubhub.com/restaurant/bosscat-breakfast-1306-atlantic-ave-brooklyn/6890728,Bosscat breakfast,4 ratings,Breakfast
https://www.grubhub.com/restaurant/pb--jellys-2803-avenue-u-brooklyn/5346416,PB & Jellys,NA,Sandwich
https://www.grubhub.com/restaurant/earlybird-5628-mosholu-ave-bronx/3074696,earlybird,31 ratings,Coffee and Tea
https://www.grubhub.com/restaurant/super-smoothie-826-9th-ave-new-york/2540592,Super Smoothie,59 ratings,Bagels
https://www.grubhub.com/restaurant/oakberry-acai-bowls--smoothies--upper-west-166-w-72nd-st-new-york/5630080,Oakberry Acai Bowls & Smoothies | Upper West,72 ratings,Bowls
https://www.grubhub.com/restaurant/village-quesadilla-330-w-broadway-new-york/2964685,Village Quesadilla,9 ratings,Mexican
https://www.grubhub.com/restaurant/the-b-deli-1738-e-gun-hill-rd-bronx/3052834,The B Deli,3 ratings,Breakfast
https://www.grubhub.com/restaurant/sunny--fines-breakfast-burritos-3139-fulton-st-brooklyn/3221906,Sunny & Fine's Breakfast Burritos,10 ratings,Breakfast
https://www.grubhub.com/restaurant/smash-shack-26-1st-ave-new-york/3132553,Smash Shack,6 ratings,Hamburger
https://www.grubhub.com/restaurant/la-casa-de-los-antojitos-8108-37th-ave-1fl-jackson-heights/4836472,LA CASA DE LOS ANTOJITOS,7 ratings,Mexican
https://www.grubhub.com/restaurant/burger-goddess-34-02-30th-st-astoria/2298614,Burger Goddess,26 ratings,Hamburger
https://www.grubhub.com/restaurant/marthas-breakfast-sandwiches-1117-broadway-brooklyn/3300972,Martha's Breakfast Sandwiches,5 ratings,Breakfast
https://www.grubhub.com/restaurant/concourse-gourmet-deli-845-concourse-village-w-bronx/2736871,Concourse Gourmet Deli,40 ratings,Hamburger
https://www.grubhub.com/restaurant/sky-club-5701-arlington-avenue-the-bronx/6137984,Sky Club,20 ratings,Breakfast
https://www.grubhub.com/restaurant/urban-nutrition-spot-197-brook-ave-bronx/2041955,Urban Nutrition Spot,43 ratings,Shakes
https://www.grubhub.com/restaurant/heaven-on-7th-marketplace-850-7th-ave-new-york/6443064,Heaven on 7th Marketplace,11 ratings,Bakery
https://www.grubhub.com/restaurant/mufasas-pancakes--french-toast-93-avenue-a-new-york/3309772,Mufasa's Pancakes & French Toast,NA,Breakfast
https://www.grubhub.com/restaurant/franks-deli-grill-272-sherman-ave-new-york/5529184,Franks Deli Grill,4 ratings,Breakfast
https://www.grubhub.com/restaurant/zahirul-convenience-445-7th-ave-brooklyn/3196197,Zahirul convenience,NA,American
https://www.grubhub.com/restaurant/marys-salad-co-3360-broadway-new-york/3310156,Mary's Salad Co,7 ratings,sandwich
https://www.grubhub.com/restaurant/go-vegan-or-go-home-257-gold-st-brooklyn/2732350,Go Vegan or Go Home,40 ratings,Salads
https://www.grubhub.com/restaurant/bark--purr-1-pierpointe-st-yonkers/2607924,Bark & Purr,NA,Fast Food
