Restaurant_id,Restaurant_Link,Name,Ratings,Cuisine
1042565,https://www.grubhub.com/restaurant/greek-kitchen-5922-avenue-n-brooklyn/1042565,Greek Kitchen,366 ratings,Mediterranean
356860,https://www.grubhub.com/restaurant/coffee--green-2106-36th-ave-astoria/356860,Coffee & Green,1117 ratings,Breakfast
5099272,https://www.grubhub.com/restaurant/harlem-cafe-2259-adam-clayton-powell-jr-blvd-new-york/5099272,Harlem Cafe,33 ratings,Breakfast
1055239,https://www.grubhub.com/restaurant/riverside-gourmet-deli-756-palisade-ave-yonkers/1055239,Riverside Gourmet Deli,100 ratings,Deli
1169090,https://www.grubhub.com/restaurant/dunkin-274-e-149th-st-bronx/1169090,Dunkin',96 ratings,Coffee and Tea
2841231,https://www.grubhub.com/restaurant/hh-bagels-mth-383-w-31st-st-new-york/2841231,H&H Bagels MTH,61 ratings,Bagel
7320432,https://www.grubhub.com/restaurant/sanford--son-sandwiches-1630-madison-ave-new-york/7320432,Sanford & Son Sandwiches,,Sandwich
6643624,https://www.grubhub.com/restaurant/bagel-daddy-97-17-queens-boulevard-woodside/6643624,Bagel Daddy,7 ratings,Bagel
2596429,https://www.grubhub.com/restaurant/la-cocinita-mia-442-lorimer-st-brooklyn/2596429,La Cocinita Mia,31 ratings,Chicken
6241784,https://www.grubhub.com/restaurant/yossis-sweet-house-5717-18th-ave-brooklyn/6241784,Yossi's Sweet House,6 ratings,Breakfast
1419958,https://www.grubhub.com/restaurant/laileilei-juice-and-snack-bar-832-westchester-ave-bronx/1419958,Laileilei Juice and Snack Bar,494 ratings,Breakfast
4786816,https://www.grubhub.com/restaurant/belly-cake-pancake-house-38-36-bell-boulevard-queens/4786816,Belly Cake Pancake House,25 ratings,American
4838688,https://www.grubhub.com/restaurant/the-best-breakfast-company-101-guyon-ave-staten-island/4838688,The Best Breakfast Company,21 ratings,Breakfast
2490015,https://www.grubhub.com/restaurant/rockaway-express-deli-114-02-rockaway-blvd-south-ozone-park/2490015,Rockaway Express Deli,48 ratings,Hamburger
6506240,https://www.grubhub.com/restaurant/meatz-498-old-country-rd-westbury/6506240,Meatz,,Lunch
3310181,https://www.grubhub.com/restaurant/pennys-pancakes-59-4th-ave-new-york/3310181,Penny's Pancakes,,Breakfast
3350127,https://www.grubhub.com/restaurant/super-dairy-mill-137-20-crossbay-blvd-ozone-park/3350127,Super Dairy Mill,33 ratings,Breakfast
